Здоровье,Метериальные,Самореализация,Любовь,Семья,Саморазвитие,Духовность,Радость,Характер,Мораль
Активность,Активы,Автономность,Альтруизм,Близкие,Анализ,Аскетизм,Арт,Бдительность,Благородность
Внутренний огонь,Амбициозность,Антихрупкость,Баланс,Взаимопонимание,Видение,Безграничность,Вдохновение,Безопасность,Мир
Выносливость,Бизнес,Благополучие,Благотворительность,Государство,Внимательность,Безмятежность,Веселье,Бесстрашие,Основательность
Драйв,Богатство,Величие,Близость,Дети,Гибкость,Бережность,Восторг,Вежливость,Постепенность
Естественность,Вещи,Вклад,Верность,Забота,Дальновидность,Благоговение,Досуг,Великодушие,Правда
Интенсивность,Власть,Воображение,Дарение,Команда,Делегирование,Бог,Желания,Выразительность,Правила
Ловкость,Выгода,Востребованность,Доброта,Общение,Интеллект,Бытие,Жизнерадостность,Гениальность,Принципиальность
Натуральность,Выигрыш,Вызов,Доверие,Одиночество,Книги,Гармония,Игры,Дисциплина,Равенство
Подвижность,Господство,Глобальность,Дружба,Понимание,Личностный рост,Глубина,Наслаждение,Доблесть,Справедливость
Потенциал,Дело,Знаменитость,Игривость,Предки,Логика,Единство,Развлечение,Достоинство,Стойкость
Природность,Деньги,Знания,Интуитивность,Принадлежность,Навыки,Здравый смысл,Сюрприз,Зрелость,Традиционность
Производительность,Дом,Значимость,Искренность,Прощение,Надежность,Истина,Удивление,Изящество,Уважение
Процветание,Достижение,Значимость,Искусство,Родственники,Нестандартность,Космос,Фан,Контроль,Честность
Сила,Доход,Индивидуальность,Красота,Рождение,Обновление,Лёгкость,Хобби,Оптимизм,Честь
Сила духа,Драгоценности,Искусность,Надежда,Сообщество,Обучение,Любопытство,Художество,Организованность,Экологичность
Скачок,Законность,Исполнительность,Отдача,Среда,Осведомленность,Мудрость,Шалость,Осторожность,
Скорость,Известность,Исследование,Откровенность,Супруг,Осознанность,Новизна,Эмоции,Отвага,
Соперничество,Инвестиции,Карьера,Откровенность,Традиции,Подражание,Обязательство,Эстетичность,Ответственность,
Спорт,Инновация,Качество,Поддержка,,Привычки,Опыт,Юмор,Решительность,
Ускорение,Капитал,Компетентность,Преданность,,Продуманность,Осмысление,,Самостоятельность,
Ухоженность,Комфорт,Креативность,Принятие,,Проницательность,Открытие,,Свирепость,
Фитнес,Конкуренция,Лидерство,Радость,,Размышления,Познание,,Сдержанность,
Фундаментальность,Неопределённость,Мастерство,Свобода,,Самообразование,Предназначение,,Сила духа,
Энергичность,Обладание,Мотивация,Спонтанность,,Смысл,Прозрачность,,Смелость,
,Покупки,Независимость,Страсть,,Сосредоточенность,Простота,,Спокойствие,
,Польза,Победа,Уверенность в себе,,Способности,Развитие,,Талант,
,Превосходство,Подотчетность,Чувственность,,Структура,Смирение,,Тщательный,
,Предприимчивость,Последовательность,,,Сфокусированность,Содержание,,Убеждённость,
,Предпринимательство,Призвание,,,Точность,Созидание,,Уверенность,
,Престиж,Профессионализм,,,Ум,Сотрудничество,,Умеренность,
,Прибыльность,Разделение,,,Уникальность,Сочувствие,,Цельность,
,Приобритение,Руководство,,,Управление,Счастье,,Эпатаж,
,Пространство,Техничность,,,Характер,Творчество,,,
,Прочность,Триумф,,,Цель,Терпимость,,,
,Риск,Трудолюбие,,,Чёткость,Тишина,,,
,Роскошь,Удовлетворенность,,,Эффективность,Толерантность,,,
,Рост,Улучшение,,,,Умиротворение,,,
,Собственность,Услуга,,,,Философия,,,
,Стабильность,Успех,,,,Церковь,,,
,Статус,Целеустремлённость,,,,Чистоплотность,,,
,Честолюбие,Экспансия,,,,Этичность,,,
,,Энтузиазм,,,,,,,
,,,,,,,,,
,,,,,,,,,
Полное описание на goal-life.com,,,,,,,,,
